OBJECTID,NAME,COUNTY,OSP,TWNCODE,LAND,SHAPE_Length,SHAPE_Area
86,NORTH KINGSTOWN,WASHINGTON,23,NK,Y,0.012881211845736,8.09845559184131e-06
87,TIVERTON,NEWPORT,33,TI,Y,0.00462146425500202,1.11664430166657e-06
88,TIVERTON,NEWPORT,33,TI,Y,0.00168778769889653,1.43697242696932e-07
89,JAMESTOWN,NEWPORT,15,JA,Y,0.508853330697014,0.00259977000017409
90,NORTH KINGSTOWN,WASHINGTON,23,NK,Y,0.000542787813805865,2.11302991709571e-08
91,RICHMOND,WASHINGTON,29,RM,Y,0.649080145082947,0.0113821611111999
92,LITTLE COMPTON,NEWPORT,18,LC,Y,0.392684732141426,0.00626229754258054
93,MIDDLETOWN,NEWPORT,19,MI,Y,0.38782253660689,0.00368285890879776
94,NORTH KINGSTOWN,WASHINGTON,23,NK,Y,0.00800619252976018,2.52866349226145e-06
95,HOPKINTON,WASHINGTON,14,HO,Y,0.640543104946848,0.0123241526206889
96,NORTH KINGSTOWN,WASHINGTON,23,NK,Y,0.0155273938200009,4.65019829673173e-06
97,NORTH KINGSTOWN,WASHINGTON,23,NK,Y,0.000247588105244506,4.17633023526917e-09
98,LITTLE COMPTON,NEWPORT,18,LC,Y,0.00496308153557865,4.73370783897167e-07
99,TIVERTON,NEWPORT,33,TI,Y,0.00115805989026202,5.27331573333552e-08
100,TIVERTON,NEWPORT,33,TI,Y,0.000336699286550102,3.37329879869464e-09
101,TIVERTON,NEWPORT,33,TI,Y,0.00141561737935081,5.7515647944772e-08
102,LITTLE COMPTON,NEWPORT,18,LC,Y,0.0221904956149392,5.20981880263159e-06
103,TIVERTON,NEWPORT,33,TI,Y,0.00205420854830375,1.70678757572615e-07
104,LITTLE COMPTON,NEWPORT,18,LC,Y,0.000247411701141493,4.51070681437114e-10
105,LITTLE COMPTON,NEWPORT,18,LC,Y,0.0026385604664046,2.79945820203201e-07
106,LITTLE COMPTON,NEWPORT,18,LC,Y,0.00295036617417525,4.53522928852217e-07
107,TIVERTON,NEWPORT,33,TI,Y,0.000677609498498169,1.35114198510854e-08
108,LITTLE COMPTON,NEWPORT,18,LC,Y,0.00119057536547566,4.71668522893621e-08
109,TIVERTON,NEWPORT,33,TI,Y,0.000962194563271916,4.47309737045482e-08
110,LITTLE COMPTON,NEWPORT,18,LC,Y,7.9587282820304e-05,1.46137112611266e-10
111,LITTLE COMPTON,NEWPORT,18,LC,Y,0.0152236398501081,6.01483252788495e-06
112,LITTLE COMPTON,NEWPORT,18,LC,Y,0.000898300203562439,5.34371965442284e-08
113,JAMESTOWN,NEWPORT,15,JA,Y,0.0266630191860539,2.23289385635007e-05
114,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,1.24453260775172,0.0167819664925114
115,NEWPORT,NEWPORT,21,NE,Y,0.513481690633095,0.00215874488204755
116,NEWPORT,NEWPORT,21,NE,Y,0.0343378187326976,4.64729095276901e-05
117,JAMESTOWN,NEWPORT,15,JA,Y,0.0354700499425467,3.89711635336851e-05
118,JAMESTOWN,NEWPORT,15,JA,Y,0.00153436144164769,1.24047354539544e-07
119,NARRAGANSETT,WASHINGTON,20,NA,Y,0.242657723602709,0.00140346630656568
120,NEWPORT,NEWPORT,21,NE,Y,0.00267392317123678,1.59571636917035e-07
121,NEWPORT,NEWPORT,21,NE,Y,0.0131507526058653,7.41311001255373e-06
122,NEWPORT,NEWPORT,21,NE,Y,0.0264919334350306,1.58851922672316e-05
123,JAMESTOWN,NEWPORT,15,JA,Y,0.00236318320177527,1.30644137451376e-07
124,JAMESTOWN,NEWPORT,15,JA,Y,0.000655972684201583,2.40982493154327e-08
125,JAMESTOWN,NEWPORT,15,JA,Y,0.00144415611140269,1.25603475725967e-07
